Unnamed: 0,시도,시군구,시설명,주소,전화번호,홍페이지,카테고리,latitude,longitude
0,서울,서초구,국립중앙도서관,서울특별시 서초구 반포대로 201 (반포동),02-535-4142,http://www.nl.go.kr,도서관,37.4971902,127.0033029
1,서울,영등포구,국회도서관,서울특별시 영등포구 의사당대로 1 (여의도동),02-788-4211,http://www.nanet.go.kr,도서관,37.5310813,126.9165501
2,서울,서초구,국립장애인도서관,서울특별시 서초구 반포대로 201 (반포동),02-3483-8857,http://nld.nl.go.kr/,도서관,37.4971902,127.0033029
3,서울,강남구,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45 삼성동서울특별시교육청강남도서관,02-3448-4741,https://gnlib.sen.go.kr,도서관,37.5136911,127.0470987
4,서울,강남구,서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30 (개포동)서울특별시교육청 개포도서관,02-3460-8200,http://gplib.sen.go.kr,도서관,37.4830336,127.063861
5,서울,강동구,서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57 (길동)강동도서관,02-2225-9800,https://gdlib.sen.go.kr,도서관,37.538569,127.1437597
6,서울,강동구,서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로295 (고덕평생학습관),02-6902-2600,http://gdllc.sen.go.kr,도서관,37.5562542,127.1577177
7,서울,강서구,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29 (등촌동)강서도서관,02-3219-7000,http://gslib.sen.go.kr,도서관,37.5478513,126.8598964
8,서울,구로구,서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31 (고척동)고척로45길 31  (고척동),02-2680-2415,http://gclib.sen.go.kr,도서관,37.5059009,126.8531819
9,서울,구로구,서울특별시교육청구로도서관,서울특별시 구로구 공원로 15 (구로동)15 (서울시립구로도서관),02-6958-2800,http://grlib.sen.go.kr,도서관,37.4984305,126.8917021
10,서울,노원구,서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13 중계동노원평생학습관,02-979-1741,http://nwllc.sen.go.kr,도서관,37.639316,127.067753
11,서울,도봉구,서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556 (쌍문동)도봉도서관,02-6714-7400,http://dblib.sen.go.kr,도서관,37.6586362,127.0391487
12,서울,동대문구,서울특별시교육청동대문도서관,서울특별시 동대문구 천호대로4길 22 (신설동)22 (동대문도서관),02-2170-1000,http://ddmlib.sen.go.kr,도서관,37.5734709,127.0247833
13,서울,동작구,서울특별시교육청동작도서관,서울특별시 동작구 장승배기로94 (서울특별시립 동작도서관),02-823-6419,http://djlib.sen.go.kr,도서관,37.5059284,126.9400583
14,서울,마포구,서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16 (서교동)16 (마포평생학습관),02-2137-0000,https://mpllc.sen.go.kr,도서관,37.5542685,126.9242273
15,서울,마포구,서울특별시교육청마포평생학습관 아현분관,서울특별시 마포구 마포대로 224 (아현동)224 (마포평생학습관 아현분관),02-362-8785,http://ahyon.sen.go.kr,도서관,37.5541171,126.9569379
16,서울,서대문구,서울특별시교육청서대문도서관,서울특별시 서대문구 모래내로 412 연희동412,02-6948-2115,http://sdmlib.sen.go.kr,도서관,37.583403,126.9410335
17,서울,송파구,서울특별시교육청송파도서관,서울특별시 송파구 동남로 263(오금동 51),02-3434-3333,http://splib.sen.go.kr,도서관,37.5010097,127.134043
18,서울,양천구,서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113 목동서울특별시교육청양천도서관,02-2062-3900,http://yclib.sen.go.kr,도서관,37.5336117,126.8762068
19,서울,영등포구,서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10 (당산동)10 (영등포평생학습관),02-6712-7500,http://ydpllc.sen.go.kr,도서관,37.5259702,126.9072585
20,서울,용산구,서울특별시교육청남산도서관,서울특별시 용산구 소월로 109 (후암동)109 (남산도서관),02-754-7338,http://nslib.sen.go.kr,도서관,37.549392,126.9762125
21,서울,용산구,서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160 후암동160 용산도서관,02-6902-7723,http://yslib.sen.go.kr,도서관,37.5519102,126.9801391
22,서울,종로구,서울특별시교육청어린이도서관,서울특별시 종로구 사직로9길 7 (사직동)어린이도서관,02-731-2300,http://childlib.sen.go.kr,도서관,37.576478,126.967887
23,서울,종로구,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48 (화동)48 (정독도서관),02-2011-5799,http://jdlib.sen.go.kr,도서관,37.5807856,126.9831611
24,서울,종로구,서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14 (사직동)종로도서관,02-721-0709,http://jnlib.sen.go.kr,도서관,37.57645,126.966387
25,서울,강동구,명성교회도서관,서울특별시 강동구 명일동341-2,02-440-9140,http://www.mslib.or.kr,도서관,37.5468695,127.1462633
26,서울,송파구,가락몰도서관,서울특별시 송파구 양재대로 932 가락동가락몰 업무동 4층,02-3435-0950,http://www.splib.or.kr/spalib/,도서관,37.493116,127.1164539
27,서울,송파구,지샘터 올림픽공원도서관,서울특별시 송파구 올림픽로424 (올림픽공원) 스포츠비즈홀1층,02-2180-3578,http://lib.kspo.or.kr,도서관,37.5206868,127.1214941
28,서울,종로구,4.19 혁명기념 도서관,서울특별시 종로구 평동166,02-730-4190,http://library.419revolution.org,도서관,37.5673015,126.9676804
29,서울,중구,한국학생도서관,서울특별시 중구 동호로27길30 (한국학생회관),02-2275-0753,http://ksplibrary.co.kr,도서관,37.5606878,127.0021474
30,서울,강남구,강남구립 역삼푸른솔 도서관,서울특별시 강남구 테헤란로8길 36 (역삼동) 4층,02-2051-1178,https://library.gangnam.go.kr/ysplib/index.do,도서관,37.4964604,127.0320158
31,서울,강남구,강남구립못골도서관,서울특별시 강남구 자곡로 116 (자곡동),02-459-5522,http://library.gangnam.go.kr/mglib,도서관,37.4768479,127.1102818
32,서울,강남구,강남구립열린도서관,서울특별시 강남구 일원로 115 (일원동)삼성생명빌딩 B동 203호,02-3412-3970,https://library.gangnam.go.kr/yllib,도서관,37.4890175,127.0824833
33,서울,강남구,논현도서관,서울특별시 강남구 학동로43길 17 (논현동)논현2동주민센터 6층,02-3443-7650,https://library.gangnam.go.kr/nhlib/index.do,도서관,37.5172158,127.0371731
