시도,시군구,시설명,주소,전화번호,홈페이지,카테고리,latitude,longitude
서울,서초구,국립중앙도서관,서울특별시 서초구 반포대로 201 (반포동),02-535-4142,http://www.nl.go.kr,도서관,37.4971902,127.0033029
서울,영등포구,국회도서관,서울특별시 영등포구 의사당대로 1 (여의도동),02-788-4211,http://www.nanet.go.kr,도서관,37.5310813,126.9165501
서울,서초구,국립장애인도서관,서울특별시 서초구 반포대로 201 (반포동),02-3483-8857,http://nld.nl.go.kr/,도서관,37.4971902,127.0033029
서울,강남구,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45 삼성동서울특별시교육청강남도서관,02-3448-4741,https://gnlib.sen.go.kr,도서관,37.5136911,127.0470987
서울,강남구,서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30 (개포동)서울특별시교육청 개포도서관,02-3460-8200,http://gplib.sen.go.kr,도서관,37.4830336,127.063861
서울,강동구,서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57 (길동)강동도서관,02-2225-9800,https://gdlib.sen.go.kr,도서관,37.538569,127.1437597
서울,강동구,서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로295 (고덕평생학습관),02-6902-2600,http://gdllc.sen.go.kr,도서관,37.5562542,127.1577177
서울,강서구,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29 (등촌동)강서도서관,02-3219-7000,http://gslib.sen.go.kr,도서관,37.5478513,126.8598964
서울,구로구,서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31 (고척동)고척로45길 31  (고척동),02-2680-2415,http://gclib.sen.go.kr,도서관,37.5059009,126.8531819
서울,구로구,서울특별시교육청구로도서관,서울특별시 구로구 공원로 15 (구로동)15 (서울시립구로도서관),02-6958-2800,http://grlib.sen.go.kr,도서관,37.4984305,126.8917021
서울,노원구,서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13 중계동노원평생학습관,02-979-1741,http://nwllc.sen.go.kr,도서관,37.639316,127.067753
서울,도봉구,서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556 (쌍문동)도봉도서관,02-6714-7400,http://dblib.sen.go.kr,도서관,37.6586362,127.0391487
서울,동대문구,서울특별시교육청동대문도서관,서울특별시 동대문구 천호대로4길 22 (신설동)22 (동대문도서관),02-2170-1000,http://ddmlib.sen.go.kr,도서관,37.5734709,127.0247833
서울,동작구,서울특별시교육청동작도서관,서울특별시 동작구 장승배기로94 (서울특별시립 동작도서관),02-823-6419,http://djlib.sen.go.kr,도서관,37.5059284,126.9400583
서울,마포구,서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16 (서교동)16 (마포평생학습관),02-2137-0000,https://mpllc.sen.go.kr,도서관,37.5542685,126.9242273
서울,마포구,서울특별시교육청마포평생학습관 아현분관,서울특별시 마포구 마포대로 224 (아현동)224 (마포평생학습관 아현분관),02-362-8785,http://ahyon.sen.go.kr,도서관,37.5541171,126.9569379
서울,서대문구,서울특별시교육청서대문도서관,서울특별시 서대문구 모래내로 412 연희동412,02-6948-2115,http://sdmlib.sen.go.kr,도서관,37.583403,126.9410335
